Salt,Base,Acid,SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g)
0,1,0,887.00,0.85,3.40,0.00,0.00,1.00,286.00
0,1,0,71.50,1.30,0.00,21.13,0.00,0.40,260.50
0,1,0,71.50,1.30,0.00,21.13,0.00,1.00,224.00
0,1,0,71.50,1.30,0.00,21.13,0.00,2.00,212.50
0,1,0,71.50,1.30,0.00,21.13,0.00,4.00,200.60
0,1,0,71.50,1.30,0.00,21.13,0.00,6.00,194.00
0,1,0,71.50,1.30,0.00,21.13,0.00,8.00,188.50
0,1,0,71.50,1.30,0.00,21.13,0.00,10.00,178.00
0,1,0,71.50,1.30,0.00,21.13,0.00,20.00,155.00
0,1,0,96.78,1.30,0.00,19.69,0.00,0.40,225.70
0,1,0,96.78,1.30,0.00,19.69,0.00,1.00,205.00
0,1,0,96.78,1.30,0.00,19.69,0.00,2.00,192.50
0,1,0,96.78,1.30,0.00,19.69,0.00,4.00,179.30
0,1,0,96.78,1.30,0.00,19.69,0.00,6.00,173.00
0,1,0,96.78,1.30,0.00,19.69,0.00,8.00,162.70
0,1,0,96.78,1.30,0.00,19.69,0.00,10.00,159.00
0,1,0,96.78,1.30,0.00,19.69,0.00,20.00,138.00
0,1,0,180.71,1.31,0.00,18.18,0.00,0.40,195.90
0,1,0,180.71,1.31,0.00,18.18,0.00,1.00,175.00
0,1,0,180.71,1.31,0.00,18.18,0.00,2.00,160.00
0,1,0,180.71,1.31,0.00,18.18,0.00,4.00,155.70
0,1,0,180.71,1.31,0.00,18.18,0.00,6.00,154.90
0,1,0,180.71,1.31,0.00,18.18,0.00,8.00,152.00
0,1,0,180.71,1.31,0.00,18.18,0.00,10.00,143.75
0,1,0,180.71,1.31,0.00,18.18,0.00,20.00,126.30
0,1,0,227.05,1.21,0.00,15.24,0.00,0.40,105.00
0,1,0,227.05,1.21,0.00,15.24,0.00,1.00,68.70
0,1,0,227.05,1.21,0.00,15.24,0.00,2.00,62.00
0,1,0,227.05,1.21,0.00,15.24,0.00,4.00,56.00
0,1,0,227.05,1.21,0.00,15.24,0.00,6.00,54.00
0,1,0,227.05,1.21,0.00,15.24,0.00,8.00,53.00
0,1,0,227.05,1.21,0.00,15.24,0.00,10.00,51.00
0,1,0,227.05,1.21,0.00,15.24,0.00,20.00,48.00
0,1,0,215.00,1.26,0.00,10.47,0.00,0.40,61.60
0,1,0,215.00,1.26,0.00,10.47,0.00,1.00,50.50
0,1,0,215.00,1.26,0.00,10.47,0.00,2.00,46.00
0,1,0,215.00,1.26,0.00,10.47,0.00,4.00,39.50
0,1,0,215.00,1.26,0.00,10.47,0.00,6.00,39.00
0,1,0,215.00,1.26,0.00,10.47,0.00,8.00,38.50
0,1,0,215.00,1.26,0.00,10.47,0.00,10.00,37.50
0,1,0,215.00,1.26,0.00,10.47,0.00,20.00,36.00
0,1,0,154.00,1.01,0.00,0.00,0.00,0.40,30.60
0,1,0,154.00,1.01,0.00,0.00,0.00,1.00,24.00
0,1,0,154.00,1.01,0.00,0.00,0.00,2.00,20.00
0,1,0,154.00,1.01,0.00,0.00,0.00,4.00,18.80
0,1,0,154.00,1.01,0.00,0.00,0.00,6.00,18.80
0,1,0,154.00,1.01,0.00,0.00,0.00,8.00,18.80
0,1,0,154.00,1.01,0.00,0.00,0.00,10.00,18.80
0,1,0,154.00,1.01,0.00,0.00,0.00,20.00,12.50
0,1,0,2005.00,0.85,0.00,4.02,3.89,0.50,315.00
0,1,0,2005.00,0.85,0.00,4.02,3.89,10.00,265.00
0,1,0,2005.00,0.85,0.00,4.02,3.89,20.00,260.00
0,1,0,2005.00,0.85,0.00,4.02,3.89,50.00,255.00
0,1,0,438.70,1.27,5.03,4.76,0.00,1.00,481.00
0,1,0,438.70,1.27,5.03,4.76,0.00,2.00,404.00
0,1,0,438.70,1.27,5.03,4.76,0.00,5.00,336.00
0,1,0,438.70,1.27,5.03,4.76,0.00,10.00,289.00
0,1,0,438.70,1.27,5.03,4.76,0.00,20.00,230.00
0,0,1,438.70,1.27,5.03,4.76,0.00,1.00,436.00
0,0,1,438.70,1.27,5.03,4.76,0.00,2.00,340.00
0,0,1,438.70,1.27,5.03,4.76,0.00,5.00,286.00
0,0,1,438.70,1.27,5.03,4.76,0.00,10.00,253.00
0,0,1,438.70,1.27,5.03,4.76,0.00,20.00,218.00
0,1,0,108.60,0.95,0.00,5.53,0.00,1.00,127.50
0,1,0,108.60,0.95,0.00,5.53,0.00,2.00,120.00
0,1,0,108.60,0.95,0.00,5.53,0.00,5.00,110.00
0,1,0,108.60,0.95,0.00,5.53,0.00,10.00,102.50
0,1,0,108.60,0.95,0.00,5.53,0.00,20.00,90.00
0,1,0,444.50,0.84,1.86,0.00,0.00,1.00,280.00
0,1,0,444.50,0.84,1.86,0.00,0.00,10.00,222.00
0,1,0,444.50,0.84,1.86,0.00,0.00,20.00,200.00
0,1,0,444.50,0.84,1.86,0.00,0.00,30.00,175.00
0,1,0,444.50,0.84,2.39,0.00,0.00,1.00,187.00
