SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
155.99,1.03,1.35,16.9,0.0,1.0,239.0,14.78
155.99,1.03,1.35,16.9,0.0,2.0,230.0,14.78
155.99,1.03,1.35,16.9,0.0,3.0,227.0,14.78
155.99,1.03,1.35,16.9,0.0,5.0,222.0,14.78
155.99,1.03,1.35,16.9,0.0,10.0,208.0,14.78
278.3,0.98,6.8,9.2,0.0,1.0,175.0,14.78
348.7,1.01,7.0,12.8,0.0,1.0,200.0,14.78
412.3,1.15,10.1,9.6,0.0,1.0,290.0,14.78
337.0,1.09,8.2,10.9,0.0,1.0,235.0,14.78
263.5,1.03,7.9,10.2,0.0,1.0,228.0,14.78
410.2,1.11,10.0,9.3,0.0,1.0,282.0,14.78
398.8,1.12,10.1,10.6,0.0,1.0,272.0,14.78
678.73,1.05,2.97,0.0,0.0,0.25,281.02,14.78
678.73,1.05,2.97,0.0,0.0,0.5,213.8,14.78
678.73,1.05,2.97,0.0,0.0,1.0,191.72,14.78
678.73,1.05,2.97,0.0,0.0,2.5,176.26,14.78
678.73,1.05,2.97,0.0,0.0,5.0,167.11,14.78
678.73,1.05,2.97,0.0,0.0,10.0,159.18,14.78
678.73,1.05,2.97,0.0,0.0,25.0,144.62,14.78
678.73,1.05,2.97,0.0,0.0,50.0,135.01,14.78
678.73,1.05,2.97,0.0,0.0,100.0,119.29,14.78
537.0,1.28,0.0,21.6,8.3,1.0,367.0,14.78
537.0,1.28,0.0,21.6,8.3,2.0,338.0,14.78
537.0,1.28,0.0,21.6,8.3,5.0,283.0,14.78
537.0,1.28,0.0,21.6,8.3,10.0,246.0,14.78
187.0,1.09,0.0,19.27,2.2,1.0,210.0,14.78
187.0,1.09,0.0,19.27,2.2,2.0,158.0,14.78
187.0,1.09,0.0,19.27,2.2,5.0,138.0,14.78
187.0,1.09,0.0,19.27,2.2,10.0,94.0,14.78
676.0,1.02,0.0,0.0,26.56,1.0,480.0,14.78
676.0,1.02,0.0,0.0,26.56,2.0,450.0,14.78
676.0,1.02,0.0,0.0,26.56,5.0,390.0,14.78
676.0,1.02,0.0,0.0,26.56,10.0,350.0,14.78
676.0,1.02,0.0,0.0,26.56,15.0,301.0,14.78
287.0,1.32,8.45,2.36,0.0,0.5,320.0,14.78
287.0,1.32,8.45,2.36,0.0,1.0,272.0,14.78
287.0,1.32,8.45,2.36,0.0,5.0,210.0,14.78
287.0,1.32,8.45,2.36,0.0,10.0,192.0,14.78
287.0,1.32,8.45,2.36,0.0,20.0,110.0,14.78
530.0,0.0,0.0,16.2,0.0,0.2,228.0,14.78
354.0,0.0,13.4,9.4,0.0,0.2,239.0,14.78
530.0,0.0,0.0,16.2,0.0,0.5,209.0,14.78
354.0,0.0,13.4,9.4,0.0,0.5,235.0,14.78
530.0,0.0,0.0,16.2,0.0,1.0,199.0,14.78
354.0,0.0,13.4,9.4,0.0,1.0,231.0,14.78
530.0,0.0,0.0,16.2,0.0,2.0,190.0,14.78
354.0,0.0,13.4,9.4,0.0,2.0,228.0,14.78
530.0,0.0,0.0,16.2,0.0,5.0,175.0,14.78
354.0,0.0,13.4,9.4,0.0,5.0,220.0,14.78
530.0,0.0,0.0,16.2,0.0,10.0,162.0,14.78
354.0,0.0,13.4,9.4,0.0,10.0,214.0,14.78
530.0,0.0,0.0,16.2,0.0,20.0,142.0,14.78
354.0,0.0,13.4,9.4,0.0,20.0,209.0,14.78
388.0,0.0,4.44,5.51,0.0,2.0,370.0,14.0
388.0,0.0,4.44,5.51,0.0,3.0,325.0,14.0
